id,room,noted_date,temp,location
__export__.temp_log_193234_0049b8d8,Room Admin,07-12-2018 16:28,29,in
__export__.temp_log_193235_264843d0,Room Admin,07-12-2018 16:28,29,in
__export__.temp_log_193231_ef583aca,Room Admin,07-12-2018 16:26,29,in
__export__.temp_log_193230_2bfdb227,Room Admin,07-12-2018 16:26,29,in
__export__.temp_log_193225_a77b067f,Room Admin,07-12-2018 16:24,29,in
__export__.temp_log_193224_bfca2456,Room Admin,07-12-2018 16:24,29,in
__export__.temp_log_193216_08ef21c1,Room Admin,07-12-2018 16:22,29,in
__export__.temp_log_193217_cddc65fa,Room Admin,07-12-2018 16:22,29,in
__export__.temp_log_193209_5e885f47,Room Admin,07-12-2018 16:20,29,in
__export__.temp_log_193208_5579255e,Room Admin,07-12-2018 16:20,29,in
__export__.temp_log_193204_0be200f4,Room Admin,07-12-2018 16:18,29,in
__export__.temp_log_193205_14b218ac,Room Admin,07-12-2018 16:18,29,in
__export__.temp_log_193195_bd891986,Room Admin,07-12-2018 16:16,29,in
__export__.temp_log_193194_f4f7c6cf,Room Admin,07-12-2018 16:16,29,in
__export__.temp_log_193185_fc01c263,Room Admin,07-12-2018 16:14,29,in
__export__.temp_log_193184_963a35eb,Room Admin,07-12-2018 16:14,29,in
__export__.temp_log_193178_01ded52b,Room Admin,07-12-2018 16:12,29,in
__export__.temp_log_193179_ed130a7b,Room Admin,07-12-2018 16:12,29,in
__export__.temp_log_193175_9696414b,Room Admin,07-12-2018 16:10,29,in
__export__.temp_log_193174_44de89f4,Room Admin,07-12-2018 16:10,29,in
__export__.temp_log_193165_e7aae833,Room Admin,07-12-2018 16:08,29,in
__export__.temp_log_193164_1840663c,Room Admin,07-12-2018 16:08,29,in
__export__.temp_log_193161_81670863,Room Admin,07-12-2018 16:06,29,in
__export__.temp_log_193160_0d35685f,Room Admin,07-12-2018 16:06,29,in
__export__.temp_log_193154_873d23d1,Room Admin,07-12-2018 16:04,29,in
__export__.temp_log_193155_c56b1ae5,Room Admin,07-12-2018 16:04,29,in
__export__.temp_log_193143_78851693,Room Admin,07-12-2018 16:00,29,in
__export__.temp_log_193142_8f683839,Room Admin,07-12-2018 16:00,29,in
__export__.temp_log_193114_1b77c455,Room Admin,07-12-2018 15:52,29,in
__export__.temp_log_193115_45322cfe,Room Admin,07-12-2018 15:52,29,in
__export__.temp_log_193111_2663e9a3,Room Admin,07-12-2018 15:50,29,in
__export__.temp_log_193110_6d2edf50,Room Admin,07-12-2018 15:50,29,in
__export__.temp_log_193097_3c330c32,Room Admin,07-12-2018 15:40,29,in
__export__.temp_log_193096_1a1429e6,Room Admin,07-12-2018 15:40,29,in
__export__.temp_log_193087_5e07d100,Room Admin,07-12-2018 15:36,29,in
__export__.temp_log_193086_fd4a43cd,Room Admin,07-12-2018 15:36,29,in
__export__.temp_log_193081_71a82d75,Room Admin,07-12-2018 15:34,29,in
__export__.temp_log_193080_9ece985f,Room Admin,07-12-2018 15:34,29,in
__export__.temp_log_193075_a3f6144c,Room Admin,07-12-2018 15:32,29,in
__export__.temp_log_193074_512a0211,Room Admin,07-12-2018 15:32,29,in
__export__.temp_log_193067_b0306829,Room Admin,07-12-2018 15:30,29,in
__export__.temp_log_193066_08249471,Room Admin,07-12-2018 15:30,29,in
__export__.temp_log_193059_27130c77,Room Admin,07-12-2018 15:28,29,in
__export__.temp_log_193058_9087a659,Room Admin,07-12-2018 15:28,29,in
__export__.temp_log_193040_4ff381e5,Room Admin,07-12-2018 15:22,29,in
__export__.temp_log_193041_ec77ba2a,Room Admin,07-12-2018 15:22,29,in
__export__.temp_log_193014_d6138017,Room Admin,07-12-2018 15:12,29,in
__export__.temp_log_193015_34d3b2b5,Room Admin,07-12-2018 15:12,29,in
__export__.temp_log_193006_f8e0f40d,Room Admin,07-12-2018 15:10,29,in
__export__.temp_log_193007_06e6b7cc,Room Admin,07-12-2018 15:10,29,in
__export__.temp_log_192997_386e4584,Room Admin,07-12-2018 15:08,29,in
__export__.temp_log_192999_8638eafb,Room Admin,07-12-2018 15:08,29,in
__export__.temp_log_192989_f3592239,Room Admin,07-12-2018 15:06,29,in
__export__.temp_log_192991_98f7a36f,Room Admin,07-12-2018 15:06,29,in
__export__.temp_log_192980_50765625,Room Admin,07-12-2018 15:04,29,in
__export__.temp_log_192981_7079e76b,Room Admin,07-12-2018 15:04,29,in
__export__.temp_log_192968_8b29f28b,Room Admin,07-12-2018 15:00,29,in
__export__.temp_log_192969_c384143b,Room Admin,07-12-2018 15:00,29,in
__export__.temp_log_192959_ff2b7963,Room Admin,07-12-2018 14:58,29,in
__export__.temp_log_192958_de469061,Room Admin,07-12-2018 14:58,29,in
