id,room,noted_date,temp,location
__export__.temp_log_193047_e8092284,Room Admin,07-12-2018 15:24,37,out
__export__.temp_log_193043_6ccf2dd3,Room Admin,07-12-2018 15:22,36,out
__export__.temp_log_193042_c7b3b7cb,Room Admin,07-12-2018 15:22,36,out
__export__.temp_log_193036_01b95b84,Room Admin,07-12-2018 15:20,37,out
__export__.temp_log_193037_d5b5f1af,Room Admin,07-12-2018 15:20,37,out
__export__.temp_log_193031_5720a162,Room Admin,07-12-2018 15:16,36,out
__export__.temp_log_193030_324e53e7,Room Admin,07-12-2018 15:16,36,out
__export__.temp_log_193024_7e96435d,Room Admin,07-12-2018 15:14,37,out
__export__.temp_log_193025_15fc43b4,Room Admin,07-12-2018 15:14,37,out
__export__.temp_log_193016_135c2a38,Room Admin,07-12-2018 15:12,37,out
__export__.temp_log_193017_fed8b526,Room Admin,07-12-2018 15:12,37,out
__export__.temp_log_193009_cda37379,Room Admin,07-12-2018 15:10,37,out
__export__.temp_log_193011_2afd1713,Room Admin,07-12-2018 15:10,37,out
__export__.temp_log_193002_70086383,Room Admin,07-12-2018 15:08,36,out
__export__.temp_log_193004_6cf02cbc,Room Admin,07-12-2018 15:08,36,out
__export__.temp_log_192961_e2f09c16,Room Admin,07-12-2018 14:58,37,out
__export__.temp_log_192960_d50e209b,Room Admin,07-12-2018 14:58,37,out
__export__.temp_log_192955_8a4bceca,Room Admin,07-12-2018 14:56,36,out
__export__.temp_log_192952_1fc9dfa9,Room Admin,07-12-2018 14:56,36,out
__export__.temp_log_192949_74d23a16,Room Admin,07-12-2018 14:54,36,out
__export__.temp_log_192951_c31ca8b1,Room Admin,07-12-2018 14:54,36,out
__export__.temp_log_192937_e08f3b12,Room Admin,07-12-2018 14:52,36,out
__export__.temp_log_192935_26ce76e9,Room Admin,07-12-2018 14:52,36,out
__export__.temp_log_192925_eec95680,Room Admin,07-12-2018 14:50,36,out
__export__.temp_log_192924_90145b52,Room Admin,07-12-2018 14:50,36,out
__export__.temp_log_192894_3536eed1,Room Admin,07-12-2018 14:44,36,out
__export__.temp_log_192895_e79250e8,Room Admin,07-12-2018 14:44,36,out
__export__.temp_log_192885_5230aa16,Room Admin,07-12-2018 14:42,36,out
__export__.temp_log_192884_633190c6,Room Admin,07-12-2018 14:42,36,out
__export__.temp_log_192849_405f6b36,Room Admin,07-12-2018 14:36,35,out
__export__.temp_log_192848_e548c0b3,Room Admin,07-12-2018 14:36,35,out
__export__.temp_log_192841_7d18073d,Room Admin,07-12-2018 14:34,34,out
__export__.temp_log_192840_fbc7d951,Room Admin,07-12-2018 14:34,34,out
__export__.temp_log_192835_4e0a04b7,Room Admin,07-12-2018 14:32,34,out
__export__.temp_log_192834_1bfc190b,Room Admin,07-12-2018 14:32,34,out
__export__.temp_log_192827_4be24719,Room Admin,07-12-2018 14:30,33,out
__export__.temp_log_192826_0ba94637,Room Admin,07-12-2018 14:30,33,out
__export__.temp_log_192820_8d2e82db,Room Admin,07-12-2018 14:28,32,out
__export__.temp_log_192821_9371c36b,Room Admin,07-12-2018 14:28,32,out
__export__.temp_log_192815_98a48cf9,Room Admin,07-12-2018 14:26,31,out
__export__.temp_log_192814_c9e76ff0,Room Admin,07-12-2018 14:26,31,out
__export__.temp_log_192809_0e5b980e,Room Admin,07-12-2018 14:24,30,out
__export__.temp_log_192808_83f25792,Room Admin,07-12-2018 14:24,30,out
__export__.temp_log_192805_bb2871e4,Room Admin,07-12-2018 14:22,30,out
__export__.temp_log_192804_c5779505,Room Admin,07-12-2018 14:22,30,out
__export__.temp_log_192802_d1ebc368,Room Admin,07-12-2018 14:20,29,out
__export__.temp_log_192803_5062371a,Room Admin,07-12-2018 14:20,29,out
__export__.temp_log_192800_1de278e0,Room Admin,07-12-2018 14:18,28,out
__export__.temp_log_192801_a2d67ddb,Room Admin,07-12-2018 14:18,28,out
